compound_id	compound_name	pathway	smiles	scenario_id	study_name	study_description	spike_compound	minormajor	acidity	acidity_unit	temperature	temperature_unit	CEC	CEC_unit	OC	biomass_start	biomass_end	biomass	wst_value	wst_type	humidity	humidity_conditions	soil_texture	sand	silt	clay
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/837880a7-3ca0-44bd-a8c0-cc33fc987f4c/structure/189b6054-d792-49d1-929f-6b7732b35aa2	CO2	Metsulfuron-methyl	O=C=O	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/028c9978-db8d-4e54-ac10-b6eb8f14dfcc	Tunink, A. (2009a)	no description				pH		&#176;C	9.7	mEq/100g		242.7	127.6			0,33 bar	75.0		Sandy loam	53.0	29.0	18.0
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/837880a7-3ca0-44bd-a8c0-cc33fc987f4c/structure/189b6054-d792-49d1-929f-6b7732b35aa2	CO2	Myclobutanil	O=C=O	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/f5c5ed5e-a4f3-48a8-9018-53d39b5fa599	Knoch, E., Krieger, M. (2003)	no description				pH		&#176;C	19.0	mEq/100g		350.0	220.0			MWHC	40.0		Sandy clay loam	47.3	35.9	16.9
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/4ee71d38-034f-4aed-953e-4d8c368be728/structure/1369ee12-e2cd-4c32-b64b-d8f71b46159f	butyric diacid	Myclobutanil	O=C(O)CC(Cn1cncn1)(C(=O)O)c1ccc(Cl)cc1	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/f5c5ed5e-a4f3-48a8-9018-53d39b5fa599	Knoch, E., Krieger, M. (2003)	no description				pH		&#176;C	19.0	mEq/100g		350.0	220.0			MWHC	40.0		Sandy clay loam	47.3	35.9	16.9
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/837880a7-3ca0-44bd-a8c0-cc33fc987f4c/structure/189b6054-d792-49d1-929f-6b7732b35aa2	CO2	Napropamide	O=C=O	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/0bf97ec6-b7ca-4567-9128-d09d7cdb8e19	IIA 7.1.1.1/01 Shaw, D. (2001)	no description				pH		&#176;C	30.3	mEq/100g		321.0	171.0			pF 2			Sandy loam	4.64	9.47	5.89
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/7ff0bc9f-ca9e-4fea-baf3-9d1d6aaed103/structure/af3efc82-8eed-42f3-afd1-12dc946fd5e5	Phthalic acid	Napropamide	O=C(O)c1ccccc1C(=O)O																							
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/0b1b0b11-c19b-46d1-be85-3339be521106/structure/16300d20-55a3-42f4-b7a0-e301ecb4b1c3	1-Napthol	Napropamide	Oc1cccc2ccccc12																							
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/8e8bb67c-c7ab-4a9b-ab17-09bd6bf7112f/structure/aa51e20c-b9d3-4f59-a7c2-c6570f663fd8	DE-NPAM	Napropamide	CCNC(=O)C(C)Oc1cccc2ccccc12	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/c753c1d3-5112-4eda-890e-d2bbeafb228d	IIA 7.1.1.1/02 Lay, M.M. (1989)	no description				pH		&#176;C								WHC	75.0		Sandy loam	59.7	30.5	9.8
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/52c2d3b7-d72f-41d1-b372-45d971a7154e/structure/65102e95-cd0b-47bd-b5b9-c6e918c78b11	NQ	Napropamide	O=C1C=CC(=O)c2ccccc21	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/c753c1d3-5112-4eda-890e-d2bbeafb228d	IIA 7.1.1.1/02 Lay, M.M. (1989)	no description				pH		&#176;C								WHC	75.0		Sandy loam	59.7	30.5	9.8
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/b92f7409-2eb9-4946-94d2-dcad419f9d63/structure/9e4c8e60-2444-4c58-ae69-27a3a5667e88	HMUD	Nicosulfuron	COc1cc(O)nc(NC(=O)NS(=O)(=O)c2ncccc2C(=O)N(C)C)n1	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/b4143f0d-013d-45bf-99ca-46b9b673ebdc	Mamouni (1995c)	no description				pH		&#176;C	15.5	mEq/100g		219.0	210.0			MWHC	54.6		Silt loam	38.0	50.7	11.3
https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/837880a7-3ca0-44bd-a8c0-cc33fc987f4c/structure/189b6054-d792-49d1-929f-6b7732b35aa2	CO2	Nicosulfuron	O=C=O	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/scenario/20dd7c15-1304-4369-a428-4b2e23937fa6	V̦lkel (1995a)	no description				pH		&#176;C	8.7	mEq/100g		483.0	344.0			MWHC	40.0		Loamy sand	83.1	15.8	1.1
